CNPJ;Farmácia;Endereço;Bairro;Cidade;Estado;Latitude;Longitude;EnderecoCompleto
1,72565E+13;DROGARIA ARAUJO S.A.;RUA CORAÇÃO EUCARÍSTICO DE JESUS, 139;COR EUC DE JUSUS;Belo Horizonte;MG;;;RUA CORAÇÃO EUCARÍSTICO DE JESUS, 139, COR EUC DE JUSUS, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;RUA CURITIBA  N.2351;LOURDES;Belo Horizonte;MG;-19,9315166;-43,943439;RUA CURITIBA  N.2351, LOURDES, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;RUA DO OURO Nº870;SERRA;Belo Horizonte;MG;-19,9405557;-43,918423;RUA DO OURO Nº870, SERRA, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;RUA DOS TUPIS N.347 LOJA 01;CENTRO;Belo Horizonte;MG;-19,9193308;-43,9403488;RUA DOS TUPIS N.347 LOJA 01, CENTRO, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;RUA ESPIRITO SANTO Nº437;CENTRO;Belo Horizonte;MG;-19,9193308;-43,9403488;RUA ESPIRITO SANTO Nº437, CENTRO, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;RUA GUIACUI, 660 LOJA 22;CORACAO DE JESUS;Belo Horizonte;MG;-19,9458741;-43,9512286;RUA GUIACUI, 660 LOJA 22, CORACAO DE JESUS, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;RUA MICHEL JEHA Nº20;SAO BENTO;Belo Horizonte;MG;-19,9539087;-43,9488617;RUA MICHEL JEHA Nº20, SAO BENTO, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;RUA NIQUELINA Nº403;SANTA EFIGENIA;Belo Horizonte;MG;-19,9228011;-43,916392;RUA NIQUELINA Nº403, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;RUA PADRE EUSTAQUIO, Nº2.208;PADRE EUSTAQUIO;Belo Horizonte;MG;-19,9143045;-43,979356;RUA PADRE EUSTAQUIO, Nº2.208, PADRE EUSTAQUIO, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;RUA PADRE PEDRO PINTO Nº 1660;VENDA NOVA;Belo Horizonte;MG;-19,821125;-43,9528598;RUA PADRE PEDRO PINTO Nº 1660, VENDA NOVA, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;RUA PADRE PEDRO PINTO, 824 A;VENDA NOVA;Belo Horizonte;MG;-19,821125;-43,9528598;RUA PADRE PEDRO PINTO, 824 A, VENDA NOVA, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S.A.;RUA PROFESSOR ESTEVAO PINTO Nº830;SERRA;Belo Horizonte;MG;-19,9440156;-43,9211329;RUA PROFESSOR ESTEVAO PINTO Nº830, SERRA, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S/A;AVENIDA DOM PEDRO II, Nº 1950;CARLOS PRATES;Belo Horizonte;MG;-19,9129792;-43,9486474;AVENIDA DOM PEDRO II, Nº 1950, CARLOS PRATES, Belo Horizonte, MG, Brasil
1,72565E+13;DROGARIA ARAUJO S/A;RUA MAQUINÉ, Nº 48;JARDIM AMERICA;Belo Horizonte;MG;-19,9437517;-43,9779752;RUA MAQUINÉ, Nº 48, JARDIM AMERICA, Belo Horizonte, MG, Brasil
1,73126E+13;DROGARIA BARAO LTDA ME;ARARIBA;PEDREIRA PRADO LOPES;Belo Horizonte;MG;-19,9016398;-43,9492444;ARARIBA, PEDREIRA PRADO LOPES, Belo Horizonte, MG, Brasil
